"zip","city","state","latitude","longitude","timezone","dst"
"60064","North Chicago","IL","42.326072","-87.85202","-6","1"
"60086","North Chicago","IL","42.43335","-87.776595","-6","1"
"60185","West Chicago","IL","41.891978","-88.20502","-6","1"
"60186","West Chicago","IL","41.839679","-88.088716","-6","1"
"60411","Chicago Heights","IL","41.511307","-87.6101","-6","1"
"60412","Chicago Heights","IL","41.811929","-87.68732","-6","1"
"60415","Chicago Ridge","IL","41.702482","-87.77869","-6","1"
"60601","Chicago","IL","41.886456","-87.62325","-6","1"
"60602","Chicago","IL","41.882937","-87.62874","-6","1"
"60603","Chicago","IL","41.880446","-87.63014","-6","1"
"60604","Chicago","IL","41.877589","-87.62818","-6","1"
"60605","Chicago","IL","41.860019","-87.6187","-6","1"
"60606","Chicago","IL","41.882582","-87.6376","-6","1"
"60607","Chicago","IL","41.875882","-87.65114","-6","1"
"60608","Chicago","IL","41.850532","-87.6699","-6","1"
"60609","Chicago","IL","41.814283","-87.65282","-6","1"
"60610","Chicago","IL","41.898582","-87.6371","-6","1"
"60611","Chicago","IL","41.904667","-87.62504","-6","1"
"60612","Chicago","IL","41.880682","-87.6877","-6","1"
"60613","Chicago","IL","41.953256","-87.6629","-6","1"
"60614","Chicago","IL","41.922682","-87.65432","-6","1"
"60615","Chicago","IL","41.801525","-87.60215","-6","1"
"60616","Chicago","IL","41.8474","-87.63126","-6","1"
"60617","Chicago","IL","41.719973","-87.5557","-6","1"
"60618","Chicago","IL","41.945681","-87.7048","-6","1"
"60619","Chicago","IL","41.744834","-87.60444","-6","1"
"60620","Chicago","IL","41.740483","-87.65282","-6","1"
"60621","Chicago","IL","41.776983","-87.6404","-6","1"
"60622","Chicago","IL","41.900332","-87.66927","-6","1"
"60623","Chicago","IL","41.850232","-87.718","-6","1"
"60624","Chicago","IL","41.879365","-87.72199","-6","1"
"60625","Chicago","IL","41.971614","-87.70256","-6","1"
"60626","Chicago","IL","42.009731","-87.66938","-6","1"
"60628","Chicago","IL","41.695434","-87.62255","-6","1"
"60629","Chicago","IL","41.777482","-87.71155","-6","1"
"60630","Chicago","IL","41.971044","-87.75869","-6","1"
"60631","Chicago","IL","41.99623","-87.81091","-6","1"
"60632","Chicago","IL","41.809299","-87.7105","-6","1"
"60633","Chicago","IL","41.655423","-87.55365","-6","1"
"60634","Chicago","IL","41.944454","-87.79654","-6","1"
"60636","Chicago","IL","41.776633","-87.66854","-6","1"
"60637","Chicago","IL","41.779384","-87.60544","-6","1"
"60638","Chicago","IL","41.787982","-87.7738","-6","1"
"60639","Chicago","IL","41.921431","-87.75415","-6","1"
"60640","Chicago","IL","41.973181","-87.6665","-6","1"
"60641","Chicago","IL","41.946431","-87.74576","-6","1"
"60643","Chicago","IL","41.696433","-87.65993","-6","1"
"60644","Chicago","IL","41.881331","-87.75671","-6","1"
"60645","Chicago","IL","42.008956","-87.69634","-6","1"
"60646","Chicago","IL","41.995331","-87.7601","-6","1"
"60647","Chicago","IL","41.921126","-87.70085","-6","1"
"60649","Chicago","IL","41.761734","-87.57072","-6","1"
"60650","Chicago","IL","41.818682","-87.743454","-6","1"
"60651","Chicago","IL","41.901485","-87.74055","-6","1"
"60652","Chicago","IL","41.7446","-87.71188","-6","1"
"60653","Chicago","IL","41.819833","-87.61269","-6","1"
"60654","Chicago","IL","41.888627","-87.63538","-6","1"
"60655","Chicago","IL","41.696283","-87.69912","-6","1"
"60656","Chicago","IL","41.97508","-87.8163","-6","1"
"60657","Chicago","IL","41.940832","-87.65852","-6","1"
"60659","Chicago","IL","41.991381","-87.70378","-6","1"
"60660","Chicago","IL","41.990631","-87.6667","-6","1"
"60661","Chicago","IL","41.882082","-87.64461","-6","1"
"60663","Chicago","IL","41.811929","-87.68732","-6","1"
"60664","Chicago","IL","41.811929","-87.68732","-6","1"
"60665","Chicago","IL","41.811929","-87.68732","-6","1"
"60667","Chicago","IL","41.811929","-87.68732","-6","1"
"60668","Chicago","IL","41.811929","-87.68732","-6","1"
"60669","Chicago","IL","41.811929","-87.68732","-6","1"
"60670","Chicago","IL","41.811929","-87.68732","-6","1"
"60671","Chicago","IL","41.811929","-87.68732","-6","1"
"60672","Chicago","IL","41.811929","-87.68732","-6","1"
"60673","Chicago","IL","41.811929","-87.68732","-6","1"
"60674","Chicago","IL","41.811929","-87.68732","-6","1"
"60675","Chicago","IL","41.811929","-87.68732","-6","1"
"60677","Chicago","IL","41.811929","-87.68732","-6","1"
"60678","Chicago","IL","41.811929","-87.68732","-6","1"
"60679","Chicago","IL","41.811929","-87.68732","-6","1"
"60680","Chicago","IL","41.811929","-87.68732","-6","1"
"60681","Chicago","IL","41.811929","-87.68732","-6","1"
"60683","Chicago","IL","41.811929","-87.68732","-6","1"
"60684","Chicago","IL","41.811929","-87.68732","-6","1"
"60685","Chicago","IL","41.811929","-87.68732","-6","1"
"60687","Chicago","IL","41.811929","-87.68732","-6","1"
"60690","Chicago","IL","41.811929","-87.68732","-6","1"
"60691","Chicago","IL","41.811929","-87.68732","-6","1"
"60692","Chicago","IL","41.867532","-87.672553","-6","1"
"60693","Chicago","IL","42.096428","-87.71791","-6","1"
"60694","Chicago","IL","41.811929","-87.68732","-6","1"
"60697","Chicago","IL","41.811929","-87.68732","-6","1"
"60699","Chicago","IL","41.811929","-87.68732","-6","1"
"60701","Chicago","IL","41.811929","-87.68732","-6","1"
